Borough,Neighborhood,Season,Day_of_Week,Time_Bucket,Avg_Complaints_Per_Week,Std_Complaints,Num_Weeks
BRONX,Bronx Park and Fordham,Winter,6,afternoon,15.261904761904763,5.661365682272325,84
BRONX,Bronx Park and Fordham,Winter,6,evening,15.047619047619047,5.291285770598565,84
BRONX,Bronx Park and Fordham,Winter,6,morning,9.071428571428571,4.679578073570706,84
BRONX,Bronx Park and Fordham,Winter,6,night,27.202380952380953,9.213373938086216,84
BRONX,Bronx Park and Fordham,Winter,6,overnight,15.523809523809524,7.839467941246772,84
BRONX,Central Bronx,Fall,0,afternoon,9.467532467532468,4.813862699987061,77
BRONX,Central Bronx,Fall,0,evening,17.26923076923077,16.473255047747298,78
BRONX,Central Bronx,Fall,0,morning,5.144736842105263,3.7227371556187743,76
BRONX,Central Bronx,Fall,0,night,23.666666666666668,26.051730090200163,78
BRONX,Central Bronx,Fall,0,overnight,8.657894736842104,12.928060057182021,76
BRONX,Central Bronx,Fall,1,afternoon,8.666666666666666,3.6526690709659615,78
BRONX,Central Bronx,Fall,1,evening,15.538461538461538,7.203340328494266,78
BRONX,Central Bronx,Fall,1,morning,4.5394736842105265,2.4300386250630344,76
BRONX,Central Bronx,Fall,1,night,16.58974358974359,11.45905856997089,78
BRONX,Central Bronx,Fall,1,overnight,4.506849315068493,3.9197622081760732,73
BRONX,Central Bronx,Fall,2,afternoon,8.753246753246753,3.8428191548305706,77
BRONX,Central Bronx,Fall,2,evening,17.102564102564102,8.314577628009804,78
BRONX,Central Bronx,Fall,2,morning,4.48051948051948,2.6238300129992256,77
BRONX,Central Bronx,Fall,2,night,17.166666666666668,10.890740337930437,78
BRONX,Central Bronx,Fall,2,overnight,3.5,2.5783497287884867,72
BRONX,Central Bronx,Fall,3,afternoon,9.448717948717949,4.948166224405662,78
BRONX,Central Bronx,Fall,3,evening,19.346153846153847,8.802046578837448,78
BRONX,Central Bronx,Fall,3,morning,4.948717948717949,2.5680223119627668,78
BRONX,Central Bronx,Fall,3,night,20.166666666666668,9.58003425239473,78
BRONX,Central Bronx,Fall,3,overnight,4.266666666666667,2.8537946920099464,75
BRONX,Central Bronx,Fall,4,afternoon,10.935897435897436,4.582121506009798,78
BRONX,Central Bronx,Fall,4,evening,26.935897435897434,14.75984350706268,78
BRONX,Central Bronx,Fall,4,morning,5.293333333333333,2.700216874840088,75
BRONX,Central Bronx,Fall,4,night,30.653846153846153,15.465778664209234,78
BRONX,Central Bronx,Fall,4,overnight,6.083333333333333,6.626345199597239,72
BRONX,Central Bronx,Fall,5,afternoon,16.064102564102566,5.375122453669441,78
